,Product_name,Product_id,Product_Category,price,Professional_Publication,Region_address,Local_address
1,Comte free fire,40008816,Jeux vidéo et consoles,,private,Grand Casablanca,Casablanca
2,Iphone 6 plus,40008815,Téléphones,,private,Grand Casablanca,Casablanca
3,Renault,40008814,Voitures,,private,Chaouia-Ouardigha,Settat
6,becane,40008811,Motos,,private,Fès-Boulemane,Fès
9,Appartement,40008807,Appartements,,private,Grand Casablanca,Casablanca
12,grima,40008804,Business et affaires commerciales,,private,Chaouia-Ouardigha,Settat
14,IPhone 6s Plus 128g gold,40008803,Téléphones,,private,Chaouia-Ouardigha,Berrechid
18,Husky,40008798,Animaux,,private,Rabat-Salé-Zemmour-Zaër,Temara
24,Rolex porte-passport et portefeuille 1950,40008796,Sacs et accessoires,,private,Taza-Al Hoceima-Taounate,Al Hoceima
27,Iphone X 64G,40008794,Téléphones,,private,Souss-Massa-Drâa,Agadir
30,Appartement,40008791,Appartements,,private,Rabat-Salé-Zemmour-Zaër,Salé
43,Macbook air core i7 fin2014,40003204,Ordinateurs portables,,pro,Grand Casablanca,Casablanca
47,Macbook air core i7 fin2014,40003204,Ordinateurs portables,,pro,Grand Casablanca,Casablanca
49,szmsung galaxy A20,40008779,Téléphones,,private,Tadla-Azilal,Béni Mellal
75,a30s noir,40008757,Téléphones,,private,Grand Casablanca,Casablanca
79,husky sibérien,40008753,Animaux,,private,Meknès-Tafilalet,Errachidia
94,Hp pavillon,40008742,Ordinateurs portables,,private,Grand Casablanca,Casablanca
102,frchakha dyal trab,40008737,Engins agricole,,private,Chaouia-Ouardigha,Khouribga
110,netflix/minecraft premiums....,40008725,Image & son,,private,Laâyoune-Boujdour-Sakia El Hamra,Laâyoune
112,Magasin équipé,40008723,"Magasins, commerces et locaux industriels",,private,Rabat-Salé-Zemmour-Zaër,Rabat
114,Samsung S6 Edge Plus,40008721,Téléphones,,private,Gharb-Chrarda-Beni Hssen,Kénitra
119,appartement bien située,40008717,Appartements,,private,Grand Casablanca,Casablanca
122,netflix/spotify/minecraft prmium/dinsey premium,40008714,Image & son,,private,Laâyoune-Boujdour-Sakia El Hamra,Laâyoune
128,Acer Aspire V Nitro 2017,40008707,Ordinateurs portables,,pro,Tanger-Tétouan,Tanger
135,Ford kuga,39360969,Voitures,,pro,Rabat-Salé-Zemmour-Zaër,Rabat
139,Mercedes sprinter,37768474,Autres,,pro,Chaouia-Ouardigha,Settat
149,Iptv reseller,39480056,Image & son,,private,Grand Casablanca,Casablanca
158,Iphone 11 64Gb,40008678,Téléphones,,pro,Tanger-Tétouan,Tanger
160,Caméra sanyo,40008676,Appareils photo et caméras,,private,Oriental,Oujda
