,Product_name,Product_id,Product_Category,price,Professional_Publication,Region_address,Local_address
0,chambre a coucher,40008817,Meubles et décoration,1800.0,private,Grand Casablanca,Casablanca
4,PS3 SLIM 360 GB,40008812,Jeux vidéo et consoles,1400.0,private,Rabat-Salé-Zemmour-Zaër,Sala Al-Jadida
5,Need For Speed Heat Xbox One Neuf,39955729,Jeux vidéo et consoles,549.0,pro,Grand Casablanca,Casablanca
7,Nikel,40008809,Voitures,75000.0,private,Gharb-Chrarda-Beni Hssen,Kénitra
8,compte free fire,40008808,Jeux vidéo et consoles,170.0,private,Grand Casablanca,Casablanca
10,Pc Hp core i7 Double Disque Dur,40008806,Ordinateurs portables,5700.0,private,Tanger-Tétouan,Tanger
11,Chiots chihuahua croisé,39955767,Animaux,1300.0,private,Souss-Massa-Drâa,Agadir
13,Chaise Gamer Raidmax DK922 RGB,36694098,Matériels professionnels,3390.0,pro,Grand Casablanca,Casablanca
15,Samsung 30s,40008802,Téléphones,2000.0,private,Marrakech-Tensift-Al Haouz,Marrakech
16,HP 14 Celeron 2018,40008801,Ordinateurs portables,1800.0,pro,Tanger-Tétouan,Tanger
17,ancien monnaies en argent,40008799,Art et collections,1500.0,private,Taza-Al Hoceima-Taounate,Al Hoceima
19,michael kors original,40008797,Montres et bijoux,1500.0,private,Grand Casablanca,Casablanca
20,Appartement lumineux avec vue panoramique de 137m,39579635,Appartements,1200000.0,private,Grand Casablanca,Casablanca
21,Huawei p10 lite,39972796,Téléphones,1100.0,pro,Souss-Massa-Drâa,Agadir
22,Appartement 75 m2 à Mohammedia,37535821,Appartements,690000.0,private,Grand Casablanca,Mohammedia
23,Appartement 83 m2 à Mohammedia,37535652,Appartements,650000.0,private,Grand Casablanca,Mohammedia
25,pantalon moto alpinestar,40008795,Pièces et accessoires pour véhicules,450.0,private,Rabat-Salé-Zemmour-Zaër,Salé
26,surface pro core i5 7th,40003223,Tablettes,4500.0,pro,Grand Casablanca,Casablanca
28,PS2,40008793,Jeux vidéo et consoles,300.0,private,Grand Casablanca,Casablanca
29,television 32,40008792,Télévisions,1500.0,private,Oriental,Berkane
31,jaket moto,40008790,Pièces et accessoires pour véhicules,450.0,private,Rabat-Salé-Zemmour-Zaër,Salé
32,PC Gamer i5 9400F/ 16GO RAM/ GTX 1060 6GO,39577310,Ordinateurs de bureau,8500.0,pro,Grand Casablanca,Casablanca
33,PC Gamer i5 9400F/ 16GO RAM/ GTX 1070,39577388,Ordinateurs de bureau,9000.0,pro,Grand Casablanca,Casablanca
34,Xbox 360,40008789,Jeux vidéo et consoles,1100.0,private,Marrakech-Tensift-Al Haouz,Marrakech
35,Lenovo X260 SSD,40008788,Ordinateurs portables,3500.0,pro,Tanger-Tétouan,Tanger
36,statue ancien en bronze signé,40008787,Art et collections,1700.0,private,Taza-Al Hoceima-Taounate,Al Hoceima
37,Red dead redemption II,40008786,Jeux vidéo et consoles,350.0,private,Souss-Massa-Drâa,Agadir
38,Lenovo ThinkPad T490 NeuF,40008785,Ordinateurs portables,6500.0,pro,Tanger-Tétouan,Tanger
39,samsung A10S,40008784,Téléphones,1250.0,private,Fès-Boulemane,Fès
40,mraya,40008783,Meubles et décoration,150.0,private,Tanger-Tétouan,Tanger
41,samsung A30,40008782,Téléphones,1700.0,private,Fès-Boulemane,Fès
42,Huawei p20 pro,40008781,Téléphones,2800.0,private,Fès-Boulemane,Fès
44,mraya,40008783,Meubles et décoration,150.0,private,Tanger-Tétouan,Tanger
45,samsung A30,40008782,Téléphones,1700.0,private,Fès-Boulemane,Fès
46,Huawei p20 pro,40008781,Téléphones,2800.0,private,Fès-Boulemane,Fès
